IGO_A,IGO_B,mandate_similarity,relational_similarity,delta_incongruence,positive_incongruence,high_incongruence
UN DOALOS,OECD,0.36129256723697,0.6325833234187166,-0.2712907561817466,False,False
UN DOALOS,WBG,0.5015349808964616,0.5214490739233594,-0.019914093026897728,False,False
UN DOALOS,IMF,0.4297087908062529,0.6936020810296131,-0.26389329022336017,False,False
UN DOALOS,IHO,0.772614025266731,0.7869181820468648,-0.014304156780133859,False,False
UN DOALOS,ICES,0.49204309556728304,0.6267688852221228,-0.13472578965483978,False,False
UN DOALOS,IPBES,0.8451510769082453,0.7516385423711992,0.09351253453704611,True,False
UN DOALOS,IPCC,0.27590767730987537,0.5247467857474107,-0.24883910843753537,False,False
UN DOALOS,WTO,0.46233560681336616,0.7546336302115417,-0.29229802339817557,False,False
UN DOALOS,IOM,0.49117530897167294,0.5238135479283087,-0.03263823895663576,False,False
UN DOALOS,UNOPS,0.2472534489765911,0.6073491038712323,-0.36009565489464124,False,False
UN DOALOS,UN Women,0.0,0.5470016928565059,-0.5470016928565059,False,False
UN DOALOS,WIPO,0.19006523813018622,0.6973569056150981,-0.507291667484912,False,False
UN DOALOS,UNFPA,0.19006523813018622,0.5950148688221409,-0.4049496306919547,False,False
UN DOALOS,UN-Habitat,0.3290055716750916,0.678764154150929,-0.34975858247583747,False,False
UN DOALOS,WFP,0.06644736782683541,0.5188662472922833,-0.45241887946544784,False,False
UN DOALOS,UNWTO,0.46602673480849344,0.551034304965558,-0.08500757015706462,False,False
UN DOALOS,UNRISD,0.2260326992716811,0.5875762943136359,-0.36154359504195477,False,False
UN DOALOS,BRS,0.6252546002024703,0.7736859405828107,-0.14843134038034045,False,False
UN DOALOS,CBD,0.8388436966652022,0.5152763505657089,0.32356734609949334,True,True
UN DOALOS,CITES,0.40883623296364024,0.6533123202762622,-0.24447608731262194,False,False
UN DOALOS,CMS,0.4857535278405628,0.5538599449176613,-0.06810641707709852,False,False
